index,brand,Model,Price,Rating,processor_brand,processor_tier,num_cores,num_threads,ram_memory,primary_storage_type,primary_storage_capacity,secondary_storage_type,secondary_storage_capacity,gpu_brand,gpu_type,is_touch_screen,display_size,resolution_width,resolution_height,OS,year_of_warranty,total_number_of_pixels,total_pixels_per_square_of_diag
888,asus,Asus Zenbook 14 OLED 2023 UX3402VA-KN541WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),1094.88,75,intel,core i5,12,16,16,SSD,512,No secondary storage,0,intel,integrated,1,14.0,2880,1800,windows,1,5184000,26448.979591836734
676,hp,HP 14-em0027AU Laptop (AMD Ryzen 5 7520U/ 16GB/ 512GB SSD/ Win11 Home),611.88,60,amd,ryzen 5,4,8,16,SSD,512,No secondary storage,0,amd,integrated,0,14.0,1920,1080,windows,1,2073600,10579.591836734693
387,ultimus,Ultimus Lite NU14U4INC54BN-CS Laptop (Celeron N4020/ 8GB/ 256GB SSD/ Win11 Home),197.88,47,intel,celeron,2,2,8,SSD,256,No secondary storage,0,intel,integrated,0,14.1,1366,768,windows,1,1049088,5276.8371812283085
424,lenovo,Lenovo IdeaPad Gaming 3 82K101PCIN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),599.88,67,intel,core i5,4,8,8,SSD,512,No secondary storage,0,nvidia,dedicated,0,15.6,1920,1080,windows,1,2073600,8520.710059171599
80,hp,HP Victus 16-e0352AX Gaming Laptop (Ryzen 5-5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),599.99,70,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,nvidia,dedicated,0,16.1,1920,1080,windows,1,2073600,7999.691369931715
121,acer,Acer Aspire 7 A715-76G NH.QMESI.002 Gaming Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),575.88,67,intel,core i5,8,12,8,SSD,512,No secondary storage,0,nvidia,dedicated,0,15.6,1920,1080,windows,1,2073600,8520.710059171599
607,dell,Dell XPS 15 9530 Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),3089.88,85,intel,core i7,14,20,16,SSD,1024,No secondary storage,0,nvidia,dedicated,1,15.6,3456,2160,windows,1,7464960,30674.556213017753
804,acer,Acer Aspire Vero AV14-52P NX.KJSSI.002 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),699.23,59,intel,core i5,10,12,16,SSD,512,No secondary storage,0,intel,integrated,0,14.0,1920,1080,windows,1,2073600,10579.591836734693
402,asus,Asus TUF Gaming F17 FX706HF-HX019W Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),800.62,66,intel,core i5,6,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,0,17.3,1920,1080,windows,1,2073600,6928.397206722576
112,lenovo,Lenovo LOQ 15IRH8 82XV00F5IN 2023 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),959.88,70,intel,core i5,8,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,0,15.6,1920,1080,windows,1,2073600,8520.710059171599
122,asus,Asus Zenbook 14X OLED 2023 M5401QA-KM541WS Laptop (Ryzen 5 5600H / 16GB/ 512GB SSD/ Win11 Home),803.88,64,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,amd,integrated,0,14.0,2880,1800,windows,1,5184000,26448.979591836734
429,asus,Asus Vivobook S14 Flip TN3402QA-LZ551WS Laptop (AMD Ryzen 5 5600H/ 16GB/ 1TB SSD/Win11),833.24,58,amd,ryzen 5,6,12,16,SSD,1024,No secondary storage,0,amd,integrated,1,14.0,1920,1200,windows,1,2304000,11755.102040816326
903,acer,Acer Predator Helios 16 PH16-71 Laptop (13th Gen Core i7/ 32GB/ 1TB SSD/ Win11/ 8GB Graph),2401.08,74,intel,core i7,16,24,32,SSD,1024,No secondary storage,0,nvidia,dedicated,0,16.0,2560,1600,windows,1,4096000,16000.0
421,acer,Acer TravelMate P2 TMP214-53 Business Laptop (11th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home),599.88,67,intel,core i7,4,8,16,SSD,1024,No secondary storage,0,intel,integrated,0,14.0,1920,1080,windows,1,2073600,10579.591836734693
98,asus,Asus Vivobook 15 X1502ZA-EJ544WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),647.88,63,intel,core i5,12,16,16,SSD,512,No secondary storage,0,intel,integrated,0,15.6,1920,1080,windows,1,2073600,8520.710059171599
964,hp,HP Chromebook x360 13b-ca0006MU Laptop (MediaTek Kompanio 1200/ 8GB/ 256 GB SSD/ Chrome OS),474.61,43,other,other,8,0,8,SSD,256,No secondary storage,0,arm,integrated,1,13.3,1920,1080,chrome,1,2073600,11722.539431284978
